id,coder,dimension,final_category,is_new,model_category,model_certainty
lni31/GI-Proceedings.31-10,alice,software_type,insufficient_information,False,numerical_mathematical,0.9
lni31/GI-Proceedings.31-10,alice,techstack,insufficient_information,False,conceptual,0.8
lni31/GI-Proceedings.31-10,alice,evaluation,testing;benchmarking,False,testing;benchmarking,0.9
lni220/2257,alice,label_research_software,0,False,1.0,0.95
lni194/287,alice,label_research_software,0,False,1.0,0.9
lni214/185,alice,label_research_software,1,False,1.0,0.95
lni214/185,alice,research_position,product_result,False,datenanalyse,0.9
lni214/185,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni214/185,alice,software_type,library_package,False,numerical_mathematical,0.85
lni214/185,alice,techstack,c_cpp;sql_db,False,c_cpp,1.0
lni214/185,alice,evaluation,testing,False,testing,0.95
lni94/GI-Proceedings-94-1,alice,label_research_software,1,False,1.0,0.95
lni94/GI-Proceedings-94-1,alice,research_position,product_result,False,visualisierung_dissemination,0.9
lni94/GI-Proceedings-94-1,alice,software_lifecycle,anforderungen;entwurf;implementierung;deployment_betrieb,False,anforderungen;entwurf;implementierung;deployment_betrieb,0.9
lni94/GI-Proceedings-94-1,alice,software_type,full_stack_application,False,full_stack_application,0.9
lni94/GI-Proceedings-94-1,alice,techstack,insufficient_information,False,javascript_web;sql_db,0.7
lni94/GI-Proceedings-94-1,alice,evaluation,conceptual_evaluation,False,planned;conceptual_evaluation,0.8
lni373/B2-1,alice,label_research_software,1,False,1.0,0.95
lni373/B2-1,alice,research_position,human_facing_intervention,False,human_facing_intervention,0.9
lni373/B2-1,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni373/B2-1,alice,software_type,vr_application,False,vr_application,0.95
lni373/B2-1,alice,techstack,c_cpp,False,c_cpp;javascript_web,0.9
lni373/B2-1,alice,evaluation,testing;usability_study;empirical_study,False,testing;usability_study;empirical_study,0.95
lni51/GI-Proceedings.51-108,alice,label_research_software,1,False,1.0,0.95
lni51/GI-Proceedings.51-108,alice,research_position,product_result,False,research_infrastructure_support,0.9
lni51/GI-Proceedings.51-108,alice,software_lifecycle,entwurf;implementierung,False,entwurf;implementierung;deployment_betrieb,0.9
lni51/GI-Proceedings.51-108,alice,software_type,middleware_service,False,middleware_service,0.9
lni51/GI-Proceedings.51-108,alice,techstack,insufficient_information,False,xml_xsd,0.95
lni51/GI-Proceedings.51-108,alice,evaluation,planned,False,testing,0.7
lni176/91,alice,label_research_software,1,False,1.0,0.9
lni176/91,alice,research_position,proof_of_concept_product,False,human_facing_intervention,0.9
lni176/91,alice,software_lifecycle,entwurf;implementierung,False,entwurf;implementierung;deployment_betrieb,0.9
lni176/91,alice,software_type,conceptual,False,domain_specific_language,0.9
lni176/91,alice,techstack,xml_xsd,False,xml_xsd,1.0
lni176/91,alice,evaluation,planned,False,usability_study,0.7
lni55/GI-Proceedings.55-26,alice,label_research_software,1,False,1.0,0.9
lni55/GI-Proceedings.55-26,alice,research_position,proof_of_concept_product,False,research_infrastructure_support,0.8
lni55/GI-Proceedings.55-26,alice,software_type,middleware_service,False,middleware_service,0.9
lni55/GI-Proceedings.55-26,alice,techstack,c_cpp,False,c_cpp,0.9
lni55/GI-Proceedings.55-26,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni55/GI-Proceedings.55-26,alice,evaluation,testing,False,testing,0.8
lni295/paper11_03,alice,label_research_software,1,False,1.0,0.95
lni295/paper11_03,alice,research_position,proof_of_concept_product,False,datenanalyse,0.9
lni295/paper11_03,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni295/paper11_03,alice,software_type,numerical_mathematical,False,library_package,0.8
lni295/paper11_03,alice,techstack,python,False,python,0.7
lni295/paper11_03,alice,evaluation,benchmarking;performance_evaluation,False,testing,0.95
lni21/GI-Proceedings.21-2,alice,label_research_software,1,False,1.0,0.95
lni21/GI-Proceedings.21-2,alice,research_position,product_result,False,,
lni21/GI-Proceedings.21-2,alice,software_lifecycle,anforderungen;entwurf;implementierung;deployment_betrieb,False,anforderungen;entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni21/GI-Proceedings.21-2,alice,software_type,plugin_extension;library_package,False,data_exchange_standard;library_package;plugin_extension,0.9
lni21/GI-Proceedings.21-2,alice,techstack,c_cpp;xml_xsd,False,xml_xsd,1.0
lni21/GI-Proceedings.21-2,alice,evaluation,conceptual_evaluation,False,testing,0.8
lni329/23-BIOSIG_2022_paper_4,alice,label_research_software,1,False,,0.95
lni329/23-BIOSIG_2022_paper_4,alice,research_position,proof_of_concept_product,False,datenanalyse,0.95
lni329/23-BIOSIG_2022_paper_4,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni329/23-BIOSIG_2022_paper_4,alice,software_type,numerical_mathematical,False,deep_learning_model,0.9
lni329/23-BIOSIG_2022_paper_4,alice,techstack,python,False,python,0.9
lni329/23-BIOSIG_2022_paper_4,alice,evaluation,benchmarking;performance_evaluation,False,testing,0.95
lni307/A6-0,alice,label_research_software,0,False,1.0,0.8
lni338/45,alice,label_research_software,1,False,,0.95
lni338/45,alice,research_position,datenerhebung,False,,
lni338/45,alice,software_lifecycle,entwurf;implementierung,False,implementierung;testen_qualitaetssicherung,0.9
lni338/45,alice,software_type,script,False,full_stack_application,0.7
lni338/45,alice,techstack,insufficient_information,False,python,0.5
lni338/45,alice,evaluation,planned,False,testing,0.8
lni48/GI.Band.48-15,alice,label_research_software,1,False,,0.95
lni48/GI.Band.48-15,alice,research_position,formal_verification,False,,
lni48/GI.Band.48-15,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni48/GI.Band.48-15,alice,software_type,numerical_mathematical;domain_specific_language,False,numerical_mathematical;domain_specific_language,1.0
lni48/GI.Band.48-15,alice,techstack,insufficient_information,False,formal_specification_languages,0.5
lni48/GI.Band.48-15,alice,evaluation,testing,False,testing;benchmarking,0.8
lni365/AKWI2025_fullpaper_10,alice,label_research_software,0,False,,1.0
lni165/286,alice,label_research_software,1,False,,0.95
lni165/286,alice,research_position,proof_of_concept_product,False,,
lni165/286,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni165/286,alice,software_type,numerical_mathematical,False,simulation_framework,0.9
lni165/286,alice,techstack,java_jvm,False,java_jvm,0.8
lni165/286,alice,evaluation,performance_evaluation,False,performance_evaluation;testing,0.95
lni108/3,alice,label_research_software,1,False,,0.95
lni108/3,alice,research_position,proof_of_concept_product,False,,
lni108/3,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni108/3,alice,software_type,numerical_mathematical,False,numerical_mathematical;library_package,0.8
lni108/3,alice,techstack,insufficient_information,False,,
lni108/3,alice,evaluation,benchmarking,False,testing;performance_evaluation,0.9
lni177/168,alice,label_research_software,1,False,,0.95
lni177/168,alice,research_position,product_result,False,,
lni177/168,alice,software_lifecycle,projektdefinition;anforderungen;entwurf;implementierung,False,projektdefinition;anforderungen;entwurf;implementierung;testen_qualitaetssicherung,0.9
lni177/168,alice,software_type,full_stack_application,False,full_stack_application;middleware_service;library_package,0.8
lni177/168,alice,techstack,insufficient_information,False,,
lni177/168,alice,evaluation,conceptual_evaluation,False,conceptual_evaluation,0.7
lni26/GI-Proceedings.26-43,alice,label_research_software,0,False,,0.9
lni175/527,alice,label_research_software,0,False,,1.0
lni176/515,alice,label_research_software,0,False,,0.9
lni314/P1-2,alice,label_research_software,0,False,,0.9
lni65/GI-Proceedings.65-35,alice,label_research_software,0,False,,0.9
lni215/405,alice,label_research_software,0,False,,1.0
lni160/379,alice,label_research_software,0,False,,0.9
Modellierung_2022_WS/paper12 (3),alice,label_research_software,0,False,,0.9
lni293/proceedings-02,alice,label_research_software,0,False,,0.95
lni110/227,alice,label_research_software,0,False,,0.9
lni136/189,alice,label_research_software,1,False,,1.0
lni136/189,alice,research_position,datenanalyse,False,datenanalyse,1.0
lni136/189,alice,software_lifecycle,implementierung;deployment_betrieb,False,implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni136/189,alice,software_type,numerical_mathematical,False,library_package,0.9
lni136/189,alice,techstack,insufficient_information,False,c_cpp,0.5
lni136/189,alice,evaluation,benchmarking;performance_evaluation,False,testing,1.0
lni368/infos2025_wi_1,alice,label_research_software,0,False,,0.9
lni121/17,alice,label_research_software,0,False,,1.0
Modellierung_2022_WS/paper10,alice,label_research_software,0,False,,0.9
lni299/GIL_2020_Weller-von-Ahlefeld_343-348,alice,label_research_software,0,False,,1.0
lni90/GI-Proceedings-90-12,alice,label_research_software,0,False,,0.9
lni337/03_02_07_Steinert,alice,label_research_software,0,False,,0.9
lni177/267,alice,label_research_software,0,False,,0.9
lni33/GI-Proceedings.33-1,alice,label_research_software,0,False,,1.0
lni223/43,alice,label_research_software,1,False,,0.95
lni223/43,alice,research_position,product_result,False,research_infrastructure_support,0.9
lni223/43,alice,software_lifecycle,entwurf;implementierung,False,entwurf;implementierung;deployment_betrieb,0.9
lni223/43,alice,software_type,middleware_service,False,middleware_service,0.95
lni223/43,alice,techstack,java_jvm,False,java_jvm,0.7
lni223/43,alice,evaluation,conceptual_evaluation,False,testing,0.9
lni23/GI-Proceedings.23-3,alice,label_research_software,0,False,,0.98
lni82/GI-Proceedings-82-11,alice,label_research_software,0,False,,1.0
lni176/305,alice,label_research_software,0,False,,1.0
lni52/GI.-.Proceedings.52-4,alice,label_research_software,0,False,,0.9
lni19/GI-Proceedings.19-103,alice,label_research_software,0,False,,0.9
lni329/30-BIOSIG_2022_paper_20,alice,label_research_software,1,False,,0.95
lni329/30-BIOSIG_2022_paper_20,alice,research_position,datenanalyse,False,,
lni329/30-BIOSIG_2022_paper_20,alice,software_lifecycle,implementierung,False,implementierung;deployment_betrieb,0.9
lni329/30-BIOSIG_2022_paper_20,alice,software_type,analysis_pipeline,False,analysis_pipeline;library_package,0.85
lni329/30-BIOSIG_2022_paper_20,alice,techstack,insufficient_information,False,,0.5
lni329/30-BIOSIG_2022_paper_20,alice,evaluation,benchmarking,False,testing;benchmarking,0.95
lni318/swm2021-04,alice,label_research_software,1,False,,0.95
lni318/swm2021-04,alice,research_position,proof_of_concept_product,False,research_infrastructure_support,0.9
lni318/swm2021-04,alice,software_lifecycle,projektdefinition;entwurf;implementierung,False,projektdefinition;anforderungen;entwurf;implementierung;deployment_betrieb,0.9
lni318/swm2021-04,alice,software_type,full_stack_application,False,full_stack_application,0.9
lni318/swm2021-04,alice,techstack,python;sql_db,False,python;sql_db,0.95
lni318/swm2021-04,alice,evaluation,conceptual_evaluation;planned,False,conceptual_evaluation;planned,0.8
lni154/354,alice,label_research_software,0,False,,0.9
lni300/B5-03,alice,label_research_software,0,False,,0.9
lni366/Faehndrich_et_al,alice,label_research_software,1,False,,0.95
lni366/Faehndrich_et_al,alice,research_position,proof_of_concept_product,False,,
lni366/Faehndrich_et_al,alice,software_lifecycle,anforderungen;entwurf;implementierung;testen_qualitaetssicherung,False,anforderungen;entwurf;implementierung;testen_qualitaetssicherung,0.9
lni366/Faehndrich_et_al,alice,software_type,full_stack_application,False,full_stack_application;library_package,0.8
lni366/Faehndrich_et_al,alice,techstack,insufficient_information,False,python,0.5
lni366/Faehndrich_et_al,alice,evaluation,conceptual_evaluation;planned,False,testing;planned,0.9
lni299/GIL_2020_Stoinescu_307-312,alice,label_research_software,0,False,,1.0
312/proceedings-04,alice,label_research_software,1,False,,0.95
312/proceedings-04,alice,research_position,product_result,False,,
312/proceedings-04,alice,software_lifecycle,projektdefinition;anforderungen;entwurf;implementierung;deployment_betrieb,False,projektdefinition;anforderungen;entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.95
312/proceedings-04,alice,software_type,full_stack_application;plugin_extension;library_package,False,full_stack_application;middleware_service;plugin_extension;library_package,0.9
312/proceedings-04,alice,techstack,c_cpp;javascript_web,False,javascript_web;c_cpp;sql_db,0.8
312/proceedings-04,alice,evaluation,usability_study,False,usability_study;testing,0.95
lni360/B8-2,alice,label_research_software,1,False,1.0,0.95
lni360/B8-2,alice,research_position,formal_verification,False,formal_verification,0.95
lni360/B8-2,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni360/B8-2,alice,software_type,library_package,False,library_package,0.9
lni360/B8-2,alice,techstack,java_jvm,False,java_jvm,0.7
lni360/B8-2,alice,evaluation,benchmarking,False,testing,0.95
lni220/1821,alice,label_research_software,1,False,1.0,0.9
lni220/1821,alice,research_position,datenanalyse,False,datenanalyse,0.95
lni220/1821,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni220/1821,alice,software_type,numerical_mathematical,False,numerical_mathematical,0.9
lni220/1821,alice,techstack,r_lang,False,r_lang,0.8
lni220/1821,alice,evaluation,performance_evaluation,False,testing,0.9
lni225/97,alice,label_research_software,1,False,1.0,0.95
lni225/97,alice,research_position,proof_of_concept_product,False,research_infrastructure_support,0.9
lni225/97,alice,software_lifecycle,entwurf;implementierung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni225/97,alice,software_type,plugin_extension,False,plugin_extension,0.95
lni225/97,alice,techstack,java_jvm,False,java_jvm,0.95
lni225/97,alice,evaluation,testing,False,testing,0.9
lni337/02_05_13_Kruse,alice,label_research_software,0,False,1.0,0.95
lni216/237,alice,label_research_software,1,False,,0.95
lni216/237,alice,research_position,visualisierung_dissemination,False,visualisierung_dissemination,0.95
lni216/237,alice,software_lifecycle,entwurf;implementierung;deployment_betrieb,False,entwurf;implementierung;deployment_betrieb,0.9
lni216/237,alice,software_type,full_stack_application,False,full_stack_application,0.9
lni216/237,alice,techstack,java_jvm;javascript_web;sql_db,False,java_jvm;javascript_web,0.9
lni216/237,alice,evaluation,performance_evaluation;planned,False,testing,0.7
lni103/172,alice,label_research_software,1,False,,0.95
lni103/172,alice,research_position,product_result,False,,
lni103/172,alice,software_lifecycle,entwurf;implementierung;deployment_betrieb,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni103/172,alice,software_type,middleware_service,False,middleware_service;library_package,0.8
lni103/172,alice,techstack,java_jvm;xml_xsd,False,java_jvm;xml_xsd,0.9
lni103/172,alice,evaluation,performance_evaluation,False,testing;performance_evaluation,0.9
lni71/GI-Proceedings.71-13,alice,label_research_software,1,False,,0.95
lni71/GI-Proceedings.71-13,alice,research_position,proof_of_concept_product,False,,
lni71/GI-Proceedings.71-13,alice,software_lifecycle,entwurf;implementierung,False,entwurf;implementierung;testen_qualitaetssicherung,0.9
lni71/GI-Proceedings.71-13,alice,software_type,numerical_mathematical,False,numerical_mathematical;simulation_framework,0.85
lni71/GI-Proceedings.71-13,alice,techstack,insufficient_information,False,c_cpp,0.7
lni71/GI-Proceedings.71-13,alice,evaluation,benchmarking;performance_evaluation;alternatives_comparison,False,testing;benchmarking;performance_evaluation,0.95
lni56/GI-Proceedings.56-1,alice,label_research_software,0,False,,0.95
lni42/GI-Proceedings.42-10,alice,label_research_software,0,False,,0.9
lni55/GI-Proceedings.55-17,alice,label_research_software,1,False,,0.95
lni55/GI-Proceedings.55-17,alice,research_position,product_result,False,,
lni55/GI-Proceedings.55-17,alice,software_lifecycle,projektdefinition;anforderungen;entwurf;implementierung,False,projektdefinition;anforderungen;entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.95
lni55/GI-Proceedings.55-17,alice,software_type,domain_specific_language;middleware_service,False,middleware_service;domain_specific_language,0.9
lni55/GI-Proceedings.55-17,alice,techstack,java_jvm;xml_xsd,False,java_jvm;xml_xsd,0.95
lni55/GI-Proceedings.55-17,alice,evaluation,testing,False,testing;benchmarking,0.8
lni78/GI-Proceedings-78-9,alice,label_research_software,0,False,,0.95
lni122/118-122,alice,label_research_software,0,False,,0.95
lni361/BTW2025-50,alice,label_research_software,1,False,,0.95
lni361/BTW2025-50,alice,research_position,product_result,False,,
lni361/BTW2025-50,alice,software_lifecycle,implementierung;deployment_betrieb,False,anforderungen;entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.95
lni361/BTW2025-50,alice,software_type,middleware_service,False,middleware_service;library_package,0.9
lni361/BTW2025-50,alice,techstack,insufficient_information,False,java_jvm,0.7
lni361/BTW2025-50,alice,evaluation,conceptual_evaluation,False,testing;conceptual_evaluation,0.9
lni144/257,alice,label_research_software,1,False,,0.95
lni144/257,alice,research_position,product_result,False,,
lni144/257,alice,software_lifecycle,entwurf;implementierung,False,projektdefinition;anforderungen;entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni144/257,alice,software_type,full_stack_application;domain_specific_language,False,full_stack_application;domain_specific_language,0.9
lni144/257,alice,techstack,java_jvm;sql_db,False,java_jvm;sql_db;xml_xsd,0.9
lni144/257,alice,evaluation,performance_evaluation,False,testing;performance_evaluation,0.9
lni28/GI-Proceedings.28-15,alice,label_research_software,0,False,,1.0
lni306/BIOSIG_2020_paper_4_update,alice,label_research_software,1,False,,0.95
lni306/BIOSIG_2020_paper_4_update,alice,research_position,datenanalyse,False,,
lni306/BIOSIG_2020_paper_4_update,alice,software_lifecycle,implementierung;testen_qualitaetssicherung,False,implementierung;testen_qualitaetssicherung,0.9
lni306/BIOSIG_2020_paper_4_update,alice,software_type,analysis_pipeline,False,script;analysis_pipeline,0.85
lni306/BIOSIG_2020_paper_4_update,alice,techstack,r_lang,False,r_lang,0.95
lni306/BIOSIG_2020_paper_4_update,alice,evaluation,testing;empirical_study,False,testing;performance_evaluation,0.9
lni52/GI.-.Proceedings.52-53,alice,label_research_software,1,False,,
lni52/GI.-.Proceedings.52-53,alice,research_position,product_result,False,,
lni52/GI.-.Proceedings.52-53,alice,software_lifecycle,entwurf;implementierung,False,,
lni52/GI.-.Proceedings.52-53,alice,software_type,full_stack_application,False,,
lni52/GI.-.Proceedings.52-53,alice,techstack,java_jvm,False,,
lni52/GI.-.Proceedings.52-53,alice,evaluation,insufficient_information,False,,
lni220/1005,alice,label_research_software,0,False,1,0.95
Modellierung_2022_WS/paper12(1),alice,label_research_software,0,False,0,0.9
lni331/B1-7,alice,label_research_software,1,False,1,0.95
lni331/B1-7,alice,research_position,product_result,False,,
lni331/B1-7,alice,software_lifecycle,entwurf;implementierung;testen_qualitaetssicherung,False,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,0.9
lni331/B1-7,alice,software_type,middleware_service;plugin_extension,False,middleware_service;plugin_extension,0.85
lni331/B1-7,alice,techstack,go;sql_db,False,go;sql_db,0.95
lni331/B1-7,alice,evaluation,benchmarking;performance_evaluation,False,testing;benchmarking;performance_evaluation,0.9
lni163/84,alice,label_research_software,0,False,0,0.95
lni314/N1-7,alice,label_research_software,0,False,0,1.0
